Running log until ^C
Timestamp                       Thread     Type        Activity             PID    TTL  
2024-03-25 07:38:12.665963-0700 0x29830cb  Default     0x0                  48542  0    UserEventAgent: (com.apple.cts) [com.apple.xpc.activity:Activities] Deferring: com.apple.cs.postinstall (0x10ba071f0)
2024-03-25 07:38:12.664950-0700 0x29deefc  Default     0x0                  48643  0    corespeechd: [com.apple.corespeech:Framework] -[CSPostBuildInstallService registerPostBuildInstallService]_block_invoke XPC activity: <xpc object> deferred: Yes firstUnlock: No
2024-03-25 07:38:12.665110-0700 0x29deefc  Default     0x0                  48643  0    corespeechd: (libxpc.dylib) [com.apple.xpc.activity:Client] __XPC_ACTIVITY_CALLING_HANDLER__ returned from handler: com.apple.cs.postinstall (0x600003304000), current state 2, pending state 3
2024-03-25 07:38:12.665318-0700 0x29deefc  Default     0x0                  48643  0    corespeechd: (libxpc.dylib) [com.apple.xpc.activity:Client] _xpc_activity_set_state: com.apple.cs.postinstall (0x600003304000), 1
2024-03-25 07:38:12.665570-0700 0x29deefc  Default     0x0                  48643  0    corespeechd: (libxpc.dylib) [com.apple.xpc.activity:Client] _xpc_activity_set_state: send new state to CTS: com.apple.cs.postinstall (0x600003304000), 3
2024-03-25 07:38:12.665709-0700 0x29deefc  Default     0x0                  48643  0    corespeechd: (libxpc.dylib) [com.apple.xpc.activity:Client] _xpc_activity_set_state: send new state to CTS: com.apple.cs.postinstall (0x600003304000), 1
2024-03-25 07:38:12.666277-0700 0x29deefc  Default     0x0                  48643  0    corespeechd: (libxpc.dylib) [com.apple.xpc.activity:Client] _xpc_activity_set_state_from_cts: com.apple.cs.postinstall (0x600003304000), set activity state to 3
2024-03-25 07:38:12.666357-0700 0x29deefc  Default     0x0                  48643  0    corespeechd: (libxpc.dylib) [com.apple.xpc.activity:Client] _xpc_activity_end_running: com.apple.cs.postinstall (0x600003304000) seqno: 1.
2024-03-25 07:38:13.558812-0700 0x29dc48a  Default     0x0                  48564  0    locationd: [com.apple.locationd.Position:GeneralCLX] @ClxSimulated, Fix, 1, ll, 37.7858340, -122.4064170, acc, 5.00, course, -1.0, time, 733070294.6, deltaDistance, 0.0, deltaDistanceAccuracy, 1.9, odometer, 0.0, timestampGps, 733070294.6
2024-03-25 07:38:13.558990-0700 0x29dc48a  Activity    0x364e66a            48564  0    locationd: CL: notifyClientsWithData (Fallback)
2024-03-25 07:38:13.559057-0700 0x29dc48a  Activity    0x364e66b            48564  0    locationd: CL: notifyClientsWithData (Fallback)
2024-03-25 07:38:13.559090-0700 0x29dc48a  Activity    0x364e66c            48564  0    locationd: CL: notifyClientsWithData (Fallback)
2024-03-25 07:38:13.559114-0700 0x29dc48a  Activity    0x364e66d            48564  0    locationd: CL: notifyClientsWithData (Fallback)
2024-03-25 07:38:13.559136-0700 0x29dc48a  Activity    0x364e66e            48564  0    locationd: CL: notifyClientsWithData (Fallback)
2024-03-25 07:38:13.559160-0700 0x29dc48a  Activity    0x364e66f            48564  0    locationd: CL: notifyClientsWithData (Fallback)
2024-03-25 07:38:13.559181-0700 0x29dc48a  Activity    0x364e710            48564  0    locationd: CL: notifyClientsWithData (Fallback)
2024-03-25 07:38:13.559850-0700 0x29e4306  Default     0x364e66a            48564  0    locationd: [com.apple.locationd.Position:GeneralCLX] @ClxClient, Fix, 1, ll, 37.7858340, -122.4064170, acc, 5.00, speed, -1.0, course, -1.0, type, 1, alt, 0.0, altunc, -1.0,ellipsoidalAlt,0.0,speedUnc,-1.0,courseUnc,-1.0,signalEnv,0,timestamp,733070293.559
